,name,url,bedrooms,beds,bathrooms,reviews,price,x,y,rating
32585681,Escape by the sea near Cinque Terre,https://www.airbnb.it/rooms/32585681?adults=1&children=0&infants=0&check_in=2022-10-15&check_out=2022-10-22&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,1.0,3,1,,126.0,9.58407,44.18356,
50772894,Ca Gialla by Roberto,https://www.airbnb.it/rooms/50772894?adults=1&children=0&infants=0&check_in=2022-10-01&check_out=2022-10-06&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,1.0,1,1,8.0,119.0,9.58743,44.17836,4.88
19104945,Appartamento blu Codice Citra 011005-LT-0033,https://www.airbnb.it/rooms/19104945?adults=1&children=0&infants=0&check_in=2022-10-09&check_out=2022-10-16&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,2.0,3,1,91.0,142.0,,,4.75
5072477,Poggio del Salice: apt 5 Terre/citra 011005LT0087,https://www.airbnb.it/rooms/5072477?adults=1&children=0&infants=0&check_in=2022-10-09&check_out=2022-10-14&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,2.0,3,1,36.0,102.0,9.56995,44.19275,4.97
20810860,Ad un passo dal mare... (cod.CITRA:011005-LT-0065),https://www.airbnb.it/rooms/20810860?adults=1&children=0&infants=0&check_in=2022-10-19&check_out=2022-10-24&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,2.0,4,1,4.0,112.0,9.58033,44.18458,4.5
10823542,Appartamento Colombo12 Gianna e Luigi con bagno privato,https://www.airbnb.it/rooms/10823542?adults=1&children=0&infants=0&check_in=2022-10-20&check_out=2022-10-25&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,1.0,3,1,13.0,76.0,9.5842,44.1836,4.15
655669680272832653,"Tik Tok, TerreMarine",https://www.airbnb.it/rooms/655669680272832653?adults=1&children=0&infants=0&check_in=2022-10-02&check_out=2022-10-07&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,3.0,5,1,5.0,181.0,9.58467,44.18302,4.2
48279626,RELAX A 100 MT DALLA SPIAGGIA,https://www.airbnb.it/rooms/48279626?adults=1&children=0&infants=0&check_in=2022-10-15&check_out=2022-10-22&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,2.0,2,1,36.0,62.0,9.61158,44.16803,4.86
51630743,Bel Bilocale su uno dei sentieri del Parco 5 Terre,https://www.airbnb.it/rooms/51630743?adults=1&children=0&infants=0&check_in=2022-10-31&check_out=2022-11-05&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,1.0,2,1,24.0,100.0,9.58342,44.19359,4.54
22544462,CASA GRAZIELLA,https://www.airbnb.it/rooms/22544462?adults=1&children=0&infants=0&check_in=2022-10-12&check_out=2022-10-18&previous_page_section_name=1000&federated_search_id=c96865ac-9d18-48fc-99cb-ab0555eae1ac,1.0,2,1,60.0,81.0,9.6113,44.1702,4.48
52546273,Intero appartamento Terrazza San Giorgio,https://www.airbnb.it/rooms/52546273?adults=1&children=0&infants=0&check_in=2022-10-01&check_out=2022-10-06&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,2.0,4,2,4.0,118.0,9.58364,44.1929,4.5
19336185,"CASA VACANZA ANGELA  ZONA CINQUE TERRE,  BONASSOLA",https://www.airbnb.it/rooms/19336185?adults=1&children=0&infants=0&check_in=2022-10-13&check_out=2022-10-20&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,2.0,5,2,27.0,104.0,9.5829,44.1859,4.85
8283412,Michelin appartamento nel centro storico,https://www.airbnb.it/rooms/8283412?adults=1&children=0&infants=0&check_in=2022-10-02&check_out=2022-10-07&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,2.0,3,1,9.0,92.0,9.5824,44.1844,4.56
8157164,Vista mozzafiato a pochi km dalle Cinque Terre,https://www.airbnb.it/rooms/8157164?adults=1&children=0&infants=0&check_in=2022-12-01&check_out=2022-12-06&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,2.0,2,2,99.0,88.0,9.58791,44.18176,4.78
29498526,"Cottage ""Rosa Tea"" vista mare",https://www.airbnb.it/rooms/29498526?adults=1&children=0&infants=0&check_in=2022-10-01&check_out=2022-10-06&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,1.0,1,1,14.0,128.0,9.5855,44.18193,4.79
35301994,Casa Silvia,https://www.airbnb.it/rooms/35301994?adults=1&children=0&infants=0&check_in=2022-10-01&check_out=2022-10-06&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,2.0,4,1,29.0,106.0,9.58271,44.18618,4.62
24390929,"Villetta indipendente, vista  mare a Bonassola.",https://www.airbnb.it/rooms/24390929?adults=1&children=0&infants=0&check_in=2022-10-13&check_out=2022-10-20&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,2.0,4,1,7.0,115.0,9.57301,44.18266,4.86
21173895,Casa con giardino e bella vista! Vicina al mare,https://www.airbnb.it/rooms/21173895?adults=1&children=0&infants=0&check_in=2023-03-31&check_out=2023-04-05&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,2.0,2,2,60.0,143.0,9.5812,44.1859,4.83
50125766,AppartamentoCristina zona tranquilla 01101-LT-0680,https://www.airbnb.it/rooms/50125766?adults=1&children=0&infants=0&check_in=2022-10-01&check_out=2022-10-06&previous_page_section_name=1000&federated_search_id=3cd478db-54ac-4dfb-8cdf-676ee9160bab,1.0,1,1,46.0,78.0,9.6307,44.1844,4.93
13913676,Cà Laudemia 011017-LT-0657,https://www.airbnb.it/rooms/13913676?adults=1&children=0&infants=0&check_in=2022-11-06&check_out=2022-11-11&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,2.0,3,2,212.0,101.0,9.613,44.1716,4.91
605612485623983577,A due passi dal mare con ampio terrazzo e giardino,https://www.airbnb.it/rooms/605612485623983577?adults=1&children=0&infants=0&check_in=2022-10-01&check_out=2022-10-06&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,3.0,5,2,4.0,153.0,9.5814,44.1846,4.75
5026866,Poggio del Salice: apt Tigullio/citra 011005LT0036,https://www.airbnb.it/rooms/5026866?adults=1&children=0&infants=0&check_in=2022-10-14&check_out=2022-10-21&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,2.0,3,1,24.0,82.0,9.57121,44.19224,4.92
31631339,Bilocale con Giardino Sivori 1,https://www.airbnb.it/rooms/31631339?adults=1&children=0&infants=0&check_in=2022-10-10&check_out=2022-10-17&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,1.0,2,1,5.0,72.0,9.58338,44.18418,4.4
588422859690212512,Bilocale Centro Storico,https://www.airbnb.it/rooms/588422859690212512?adults=1&children=0&infants=0&check_in=2022-10-14&check_out=2022-10-19&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,1.0,2,1,,69.0,9.58292,44.18132,
593173668736943919,Villa dei Limoni Bonassalo,https://www.airbnb.it/rooms/593173668736943919?adults=1&children=0&infants=0&check_in=2022-10-09&check_out=2022-10-14&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,4.0,5,2,3.0,206.0,9.57714,44.18529,5.0
37288488,Casa al mare per sei persone con vista sul mare e due bagni.,https://www.airbnb.it/rooms/37288488?adults=1&children=0&infants=0&check_in=2022-10-15&check_out=2022-10-22&previous_page_section_name=1000&federated_search_id=c3c04688-17a6-4e6b-8171-4abe528c7744,3.0,4,2,10.0,185.0,9.5835,44.1821,4.9
