,name,location,x,y,geometry
36,Eni Station,"Via Comasina, Via Alessandro Litta Modignani, 19",9.1657669,45.5242627,POINT (9.1657669 45.5242627)
37,Stazione di Ricarica Veicoli Elettrici,"Via Luigi Ornato, 169",9.1915784,45.5274709,POINT (9.1915784 45.5274709)
38,Lidl Stazione di Ricarica,"Via Luigi Ornato, 148",9.1927269,45.5256886,POINT (9.1927269 45.5256886)
39,Be Charge Charging Station,"Via Guido da Velate, 11",9.19337,45.52389,POINT (9.19337 45.52389)
40,Be Charge Stazione di Ricarica,"Via Giuseppe di Vittorio, 23A",9.1911561,45.5347793,POINT (9.1911561 45.5347793)
41,Enel X Stazione di Ricarica,"Viale Italia, 39",9.2285204,45.5248353,POINT (9.2285204 45.5248353)
42,Be Charge Stazione di Ricarica,"Via XXV Aprile, 18",9.1978915,45.53591,POINT (9.1978915 45.53591)
43,Enel X Charging Station,"Piazza dell'Ospedale Maggiore, 3",9.1881852,45.5086997,POINT (9.1881852 45.5086997)
44,Enel X Stazione di Ricarica,"Piazza Oreste Giussani, 2",9.1769638,45.5390503,POINT (9.1769638 45.5390503)
45,Eni Station,"SPexSS11 Strada Provinciale Padana Superiore, Km 132-257 Lato Nord",9.0574632,45.4964923,POINT (9.0574632 45.4964923)
46,Enel X Stazione di Ricarica,"Via Antonio Gramsci, 84",9.0658656,45.4884072,POINT (9.0658656 45.4884072)
47,ENEL X Charging Station,"Via Panzeri, 11",9.0485501,45.4902119,POINT (9.0485501 45.4902119)
48,Be Charge Charging Station,"Via della Liberazione, 2",9.07804,45.51097,POINT (9.07804 45.51097)
51,Powy Charging Station,"Via Sempione, 166",9.083581,45.5125249,POINT (9.083581 45.5125249)
52,a2a Stazione di Ricarica,"Via Sella Nuova, 3",9.1093853,45.4600112,POINT (9.1093853 45.4600112)
53,Enel X Stazione di Ricarica,"A4 Torino - Trieste, km 111",9.039693,45.5094601,POINT (9.039693 45.5094601)
54,Eni Station,"Via Nicola Antonio Porpora, 133",9.2295422,45.4862233,POINT (9.2295422 45.4862233)
55,Stazione di ricarica per veicolo elettrico,Via Nino Oxilia,9.2161014,45.4928344,POINT (9.2161014 45.4928344)
56,Elettroshare Stazione di Ricarica,"Via Tolmezzo, 12",9.2332315,45.4923652,POINT (9.2332315 45.4923652)
57,Repower Stazione di Ricarica,"Viale Lombardia, 78",9.2239062,45.4874075,POINT (9.2239062 45.4874075)
58,Be Charge Charging Station,"Viale Andrea Doria, 46",9.2153761,45.4859255,POINT (9.2153761 45.4859255)
59,Enel X Stazione di Ricarica,"Via Privata Terenzio Mamiani, 3",9.230844,45.497525,POINT (9.230844 45.497525)
60,Be Charge Stazione di Ricarica,"P.le Udine, 1",9.2368102,45.4907626,POINT (9.2368102 45.4907626)
61,Be Charge Stazione di Ricarica,"Piazzale Gabrio Piola, 1",9.2231039,45.4798423,POINT (9.2231039 45.4798423)
62,Enel X Stazione di Ricarica,"Via Vallazze, 87",9.2280833,45.4847447,POINT (9.2280833 45.4847447)
66,A2A Stazione di Ricarica,"Via Giovanni Fattori, 6",9.1352091,45.5072958,POINT (9.1352091 45.5072958)
67,Porsche Stazione di Ricarica,"Via Giorgio Stephenson, 53",9.1244728,45.5101863,POINT (9.1244728 45.5101863)
72,Eni Station,"Via Valtellina, 21",9.1825926,45.4942807,POINT (9.1825926 45.4942807)
73,A2A E-moving – Fast Charge DC-AC Charging Station,"Via Torquato Taramelli, 2",9.1930294,45.4893737,POINT (9.1930294 45.4893737)
74,A2A E-moving - Isola Digitale AC,"Via Genova Thaon di Revel, 2",9.1890791,45.4908142,POINT (9.1890791 45.4908142)
75,Be Charge Stazione di Ricarica,"Via Luigi Galvani, 34",9.1967199,45.48801,POINT (9.1967199 45.48801)
76,VIRTA Charging Station,"Via Ugo Bassi, 6",9.1843478,45.4884582,POINT (9.1843478 45.4884582)
77,Powerstop Stazione di Ricarica,"Viale della Liberazione, 13",9.1949807,45.4819734,POINT (9.1949807 45.4819734)
78,Be Charge Stazione di Ricarica,"Viale Monte Grappa, 16",9.1893822,45.4808092,POINT (9.1893822 45.4808092)
79,Stazione Ricarica Elettrica Four Points by Sheraton Milan Center,"Via Gerolamo Cardano, 1",9.1981148,45.4850347,POINT (9.1981148 45.4850347)
80,Be Charge Stazione di Ricarica,"Via Gioacchino Murat, 14",9.1916561,45.4979278,POINT (9.1916561 45.4979278)
81,Eni Station,"Via Novara, 286",9.1011737,45.4802638,POINT (9.1011737 45.4802638)
86,Be Charge Charging Station,"Via Matteo Civitali, 75",9.12858,45.47509,POINT (9.12858 45.47509)
87,Lidl Stazione di Ricarica,"Via Raffaello Sanzio, 2",9.0999749,45.446102,POINT (9.0999749 45.446102)
88,Enel X Stazione di Ricarica,"Via Benozzo Gozzoli, 140",9.0965563,45.4500486,POINT (9.0965563 45.4500486)
89,A2A E-moving - Isola Digitale AC Charging Station,"Via Lucca, 14",9.1127664,45.4557402,POINT (9.1127664 45.4557402)
93,A2A Stazione di Ricarica,"Via Marco Cremosano, 4",9.1409413,45.4830136,POINT (9.1409413 45.4830136)
105,Stazione di ricarica per veicolo elettrico,"Via Sella Nuova, 3",9.1094111,45.4599385,POINT (9.1094111 45.4599385)
108,Eni Station,"Viale Papiniano, 54",9.1710246,45.4569824,POINT (9.1710246 45.4569824)
109,Charge And Drive Charging Station,"Via Rastrelli, 5",9.1906345,45.4626152,POINT (9.1906345 45.4626152)
110,becharge Stazione di Ricarica,"Via Santa Maria Fulcorina, 1",9.1836691,45.4636512,POINT (9.1836691 45.4636512)
111,A2A Stazione di Ricarica,"Largo Raffaele Mattioli, 2",9.1915551,45.4669624,POINT (9.1915551 45.4669624)
112,ENEL X Charging Station,"Via Pantano, 4",9.191012,45.459865,POINT (9.191012 45.459865)
113,Enel X Stazione di Ricarica,"Via Adalberto Catena, 5",9.193126,45.466894,POINT (9.193126 45.466894)
114,Stazione Ricarica Elettrica Ariston Hotel,"Carrobbio, 2",9.1814755,45.4604449,POINT (9.1814755 45.4604449)
115,Be Charge Charging Station,"Via Cordusio, 4",9.1836014,45.4636331,POINT (9.1836014 45.4636331)
116,A2A E-Moving – Quick Charge AC Charging Station,"Via Broletto, 46",9.1856233,45.4681318,POINT (9.1856233 45.4681318)
