,name,location,x,y,geometry
261,Eni Station,"Viale Monza, 166",9.2233679,45.5072261,POINT (9.2233679 45.5072261)
264,Be Charge Charging Station,"Via Pindaro, 29",9.22943,45.516973,POINT (9.22943 45.516973)
265,e-moving Charging Station,"Via Erodoto, 2",9.2237419,45.5088824,POINT (9.2237419 45.5088824)
266,Be Charge Charging Station,"Viale Monza, 166",9.223406,45.5074097,POINT (9.223406 45.5074097)
268,Lidl Stazione di Ricarica,"Via Adriano, 22",9.2469728,45.5123332,POINT (9.2469728 45.5123332)
269,Be Charge Stazione di Ricarica,Stazione di ricarica per veicoli elettrici,9.2142149,45.5209,POINT (9.2142149 45.5209)
274,Be Charge Stazione di Ricarica,"Piazza dell'Ospedale Maggiore, 8",9.1901766,45.5095088,POINT (9.1901766 45.5095088)
279,Enel X Stazione di Ricarica,"Via Caviaga, 5",9.2578415,45.4281494,POINT (9.2578415 45.4281494)
280,Enel X Stazione di Ricarica,Via Salvemini,9.2586194,45.4196716,POINT (9.2586194 45.4196716)
281,Enel X Stazione di Ricarica,"Via Giovanni Battista Cassinis, 83",9.2379372,45.4341068,POINT (9.2379372 45.4341068)
282,Enel X Stazione di Ricarica,"Via Emilia, 12",9.262626,45.4152984,POINT (9.262626 45.4152984)
283,Enel X Stazione di Ricarica,"Via Cesare Battisti, 2",9.265226,45.417107,POINT (9.265226 45.417107)
284,Enel X Stazione di Ricarica,"Via della Unione Europea, 1",9.259417,45.4161,POINT (9.259417 45.4161)
286,Enel X Stazione di Ricarica,"Piazzale Supercortemaggiore, 2",9.2581262,45.4203595,POINT (9.2581262 45.4203595)
287,Stazione di ricarica per veicolo elettrico,"Via Eugenio Colorni, 16",9.2419817,45.439818,POINT (9.2419817 45.439818)
288,Stazione di Servizi Eni - LU.CA: srl Telepass Point,"Piazza Trento, Viale Isonzo, 38",9.2011692,45.4468916,POINT (9.2011692 45.4468916)
290,NHP Stazione di Ricarica,"Corso Lodi, 34",9.2088081,45.4478838,POINT (9.2088081 45.4478838)
293,Stazione di ricarica elettrica Grand Visconti Palace,"Viale Isonzo, 14",9.2062205,45.4470443,POINT (9.2062205 45.4470443)
294,A2A E-moving – Fast Charge DC-AC,"Corso Lodi, 39",9.2094989,45.4479593,POINT (9.2094989 45.4479593)
296,Enel X Stazione di Ricarica,"Via Giovanni Cena, 23",9.2196726,45.4607411,POINT (9.2196726 45.4607411)
297,EnistationMantovani via Salomone,Via Oreste Salomone,9.2412,45.4512918,POINT (9.2412 45.4512918)
298,Be Charge Charging Station,"Via Mecenate, 121",9.2571403,45.448481,POINT (9.2571403 45.448481)
299,Enel X Stazione di Ricarica,"Via del Turchino, 10",9.225862,45.451317,POINT (9.225862 45.451317)
304,Be Charge Charging Station,"Viale Bacchiglione, 21",9.220481,45.443127,POINT (9.220481 45.443127)
307,Stazione di ricarica per veicolo elettrico,"Viale Col di Lana, 505",9.1815877,45.4521644,POINT (9.1815877 45.4521644)
313,Be Charge Stazione di Ricarica,"Corso Genova, 27",9.1744108,45.4563705,POINT (9.1744108 45.4563705)
314,Queenergy S.r.l.,"Via Lesmi, 11",9.1739894,45.4596626,POINT (9.1739894 45.4596626)
320,Next Charge Charging Station,"Via Ippolito Nievo, 41",9.162616,45.477744,POINT (9.162616 45.477744)
324,Eni Station,Viale Europa,9.0431815,45.4414303,POINT (9.0431815 45.4414303)
325,EMOBITALY Charging Station,"Viale Europa, 11",9.0411499,45.4452011,POINT (9.0411499 45.4452011)
326,Next Charge Charging Station,"Via dei Salici, 1",9.079846,45.452198,POINT (9.079846 45.452198)
328,Next Charge Charging Station,Via degli Ontani,9.079234,45.4547079,POINT (9.079234 45.4547079)
330,Be Charge Stazione di Ricarica,"Via Monteverdi, 22-24",9.0672673,45.424901,POINT (9.0672673 45.424901)
331,Stazione di ricarica per veicolo elettrico,Via Libertà,9.0892247,45.4469897,POINT (9.0892247 45.4469897)
332,Be Charge Stazione di Ricarica,"Via dei Salici, 5",9.0895127,45.4405711,POINT (9.0895127 45.4405711)
333,Eni Station,"Via Giacomo Antonini, 35",9.1929369,45.437451,POINT (9.1929369 45.437451)
342,Eni Station,"Via Giuseppe Ripamonti, 270/0270",9.2028273,45.4265936,POINT (9.2028273 45.4265936)
343,Enel X Charging Station,Via Noto,9.1995165,45.430953,POINT (9.1995165 45.430953)
344,Be Charge Charging Station,"Via Cascina Belcasule, 18",9.1954499,45.4298,POINT (9.1954499 45.4298)
351,Eni Station,"Viale Monza, 316",9.2276098,45.5208383,POINT (9.2276098 45.5208383)
353,Evway Charging Station,"Viale Fulvio Testi, 260",9.2108781,45.5217537,POINT (9.2108781 45.5217537)
356,Be Charge Charging Station,"Viale Fulvio Testi, 262",9.21033,45.52272,POINT (9.21033 45.52272)
357,EVBox Charging Station,"Via Chiese, 72",9.2117377,45.5222316,POINT (9.2117377 45.5222316)
358,Lidl Stazione di Ricarica,"Viale Sarca, 371",9.2153191,45.5277264,POINT (9.2153191 45.5277264)
359,A2A Charging Station,"Via Roberto Cozzi, 50",9.2132828,45.5124412,POINT (9.2132828 45.5124412)
360,Eni Station - Stazione Di Servizio,"Via Tito Livio, 19",9.2178131,45.4515436,POINT (9.2178131 45.4515436)
361,Q8,Benzinaio,9.2264563,45.455927,POINT (9.2264563 45.455927)
364,NHP Stazione di Ricarica,"Via Laura Ciceri Visconti, 2",9.220192,45.4554453,POINT (9.220192 45.4554453)
365,Stazione di ricarica per veicolo elettrico,"Via Antonio Dossi, 2",9.2202662,45.4609389,POINT (9.2202662 45.4609389)
367,Enel X Way Stazione di Ricarica,"Viale Umbria, 120",9.2176212,45.461118,POINT (9.2176212 45.461118)
369,Eni Station,Piazzale Bologna,9.2237192,45.4439634,POINT (9.2237192 45.4439634)
378,TAMOIL • Muggiano Est,A50 Tan.ov.mi.muggiano Aut,9.0748538,45.4458601,POINT (9.0748538 45.4458601)
381,Next Charge Charging Station,"Via degli Ippocastani, 20",9.083352,45.4519639,POINT (9.083352 45.4519639)
385,Stazione di ricarica per veicolo elettrico,"Via Benozzo Gozzoli, 117",9.0954152,45.4513922,POINT (9.0954152 45.4513922)
391,Be Charge Charging Station,"Via Vincenzo Forcella, 2",9.167471,45.4530389,POINT (9.167471 45.4530389)
